path,methods,module,params,files
"/api/assets/type/image/untags/clearimages","DELETE","assets","limit|team_id","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/assets/video/cosobj","POST","assets","object_name|team_id|updateTsIfExisted","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/assets/video/file","POST","assets","formData","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/assets/video/ossobj","POST","assets","object_name|team_id|updateTsIfExisted","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/audio/audio_list","GET","audio","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/audio/category_list","GET","audio","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/audio/source_list","GET","audio","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/auth/email/reset_password","POST","auth","code|email|password","001c3aa82e__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js;001c3aa82e37__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js.js;edt_auth_index.js"
"/api/auth/login-captcha","GET","auth","area_code|username","001c3aa82e__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js;001c3aa82e37__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js.js;edt_auth_index.js"
"/api/auth/partner/ownerpartnerapp","GET","auth","unique_uid","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/auth/partner/partnerapp","POST|PUT|DELETE","auth","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/auth/partner/partnerapp/applications","GET","auth","unique_uid","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
