module,path,methods,verified,probe_status,params,query
"orders","/api/orders/tariff/for/templated_membership/upgrading","GET","live","200","email",""
"orders","/api/orders/tariff/for/traffic_package","GET","live","200","email|team_id",""
"publisher","/api/publisher/identity","DELETE|GET|POST","live","200","team_id","team_id"
"qq","/auth/qq","","probe","200","",""
"qrimage","/api/qrimage/progress","GET","probe","400","token",""
"qrimage","/api/qrimage/token","DELETE|POST","bundle","","tag|team_id|watermark",""
"qrshare","/api/qrshare/show/save","POST","bundle","","share_token",""
"qrshare","/api/qrshare/show/share","POST","bundle","","show_id",""
"renderer","/api/renderer/comp/show","GET","probe","404","nopadding|quality",""
"renderer","/api/renderer/export","GET","probe","404","",""
"renderer","/api/renderer/frames/show","GET","probe","404","end_page|frequence|poster_path|quality|scroll_speed|start_page|storage_target|transparent_bg|turning_interval",""
"renderer","/api/renderer/gif/show","GET","probe","404","end_page|frequence|poster_path|quality|repeat|scroll_speed|start_page|storage_target|transparent_bg|turning_interval",""
"renderer","/api/renderer/pdf/show","GET","probe","404","no_padding|page_height|page_width|quality",""
"renderer","/api/renderer/screenshot/show","GET","probe","404","combine_dir|end_page|file_type|no_padding|page_height|page_indicators|page_width|poster_path|quality|start_page|storage_target|transparent_bg",""
"renderer","/api/renderer/video/show","GET","probe","404","page_width|quality|scroll_speed|turning_interval|use_music",""
"report","/auth/report/result/failed","GET","probe","200","delay_time|loadingUserInfo|requirePhoneBind|signingIn|signingOut|uploadCdnHost|uploadCfgs|uploadToOss|userInfo",""
"report","/auth/report/result/success","GET","probe","200","delay_time|loadingUserInfo|requirePhoneBind|signingIn|signingOut|uploadCdnHost|uploadCfgs|uploadToOss|userInfo",""
"show","/api/show","GET","probe","404","",""
"show","/api/show/collect_img/5","POST","bundle","","showData",""
"show","/api/show/scan_image_infringement/5","POST","bundle","","showData",""
"show_goods","/api/show_goods/application/originality_file_upload","GET","probe","404","formData",""
"show_goods","/api/show_goods/applications","GET|POST|PUT","probe","404","access_token|is_new_original_file|originality_file_url|price|reason|show_goods_id|show_id|tag_id|template_membership_flag",""
"show_goods","/api/show_goods/applications/revoke","DELETE|PUT","bundle","","",""
"show_goods","/api/show_goods/author/applying","POST","bundle","","home_url|state",""
"show_goods","/api/show_goods/author/state","GET","live","200","",""
"show_goods","/api/show_goods/expected_income","GET","probe","200","show_type|utc_ticks",""
"show_goods","/api/show_goods/goodses","GET","live","200","by_nearest|limit|page|price_scope|search|show_type|showgoods_type|tag_id|tag_name|tpl_flag|utc_ticks","by_nearest|limit|page|price_scope|search|show_type|showgoods_type|tag_id|tag_name|tpl_flag"
"show_goods","/api/show_goods/goodses/assign_tags","PUT","bundle","","inTags|outTags|relatedFlag|show_goods_id",""
"show_goods","/api/show_goods/goodses/change_price","PUT","bundle","","show_goods_id",""
"show_goods","/api/show_goods/goodses/stopSale","PUT","bundle","","show_goods_id",""
"show_goods","/api/show_goods/my/applications","GET","probe","200","application_type|limit|page|state",""
"show_goods","/api/show_goods/my/goodses","GET|POST","probe","200","limit|page|state",""
"show_goods","/api/show_goods/my/incomes/goodses","GET","live","200","limit|page|payedOnly|scopeType|state","limit|page|payedOnly|scopeType|state"
"show_goods","/api/show_goods/my/info","GET","probe","404","include|show_type",""
"show_goods","/api/show_goods/my/purchased/goodses","GET","live","200","limit|page|show_type","limit|page|show_type"
"show_goods","/api/show_goods/my/purchased/state","GET","probe","400","include|show_goods_id",""
"show_goods","/api/show_goods/official_recommended","GET","probe","200","limit|page|show_type",""
"show_goods","/api/show_goods/purchased/goodses","POST","bundle","","show_goods_id",""
"show_goods","/api/show_goods/rank","GET","probe","200","limit|page|range_from|range_to|rank_object|show_type",""
